date,mobile_good,mobile_ni,mobile_poor,desktop_good,desktop_ni,desktop_poor
2025-08-15,49.44,35.81,14.75,66.14,21.52,12.33
2025-08-16,49.26,35.93,14.81,65.71,21.0,13.29
2025-08-17,49.1,36.05,14.85,64.62,21.14,14.24
2025-08-18,49.04,36.04,14.91,66.11,20.94,12.95
2025-08-19,49.04,36.04,14.91,66.11,20.94,12.95
2025-08-20,48.94,36.04,15.01,66.32,20.6,13.08
2025-08-21,48.84,36.25,14.92,66.59,20.52,12.89
2025-08-22,48.55,36.24,15.21,66.98,20.19,12.83
2025-08-23,48.39,36.3,15.32,64.42,21.66,13.92
2025-08-24,48.11,36.42,15.47,64.37,22.4,13.22
2025-08-25,48.09,36.38,15.54,65.48,21.41,13.11
2025-08-26,48.2,36.41,15.39,65.0,21.78,13.22
2025-08-27,47.98,36.36,15.67,66.92,20.77,12.31
2025-08-28,47.97,36.43,15.6,65.6,21.87,12.54
2025-08-29,47.96,36.34,15.7,66.04,21.68,12.28
2025-08-30,47.98,36.34,15.68,66.0,21.73,12.26
2025-08-31,48.21,36.26,15.53,66.11,21.81,12.08
2025-09-01,48.38,35.86,15.76,65.3,23.03,11.67
2025-09-02,48.38,35.86,15.76,65.3,23.03,11.67
2025-09-03,48.46,35.78,15.76,66.55,22.65,10.8
2025-09-04,48.58,35.75,15.67,66.36,21.92,11.73
2025-09-05,48.42,35.68,15.9,66.7,22.31,10.99
2025-09-06,48.31,35.94,15.75,66.18,23.44,10.38
2025-09-07,48.1,36.16,15.74,65.45,23.95,10.59
2025-09-08,48.09,36.06,15.85,65.86,23.08,11.06
2025-09-09,48.09,36.06,15.85,65.86,23.08,11.06
2025-09-10,47.88,36.11,16.01,62.75,23.36,13.9
2025-09-11,47.88,36.11,16.01,62.75,23.36,13.9
